Company,Country,Sector,Industry
Siam Commercial Bank,Thailand,Financials,Regional Banks
China Eastern Airlines,China,Industrials,Airline
Cemex,Mexico,Materials,Construction Materials
Sumitomo Realty,Japan,Financials,Real Estate
Murata Manufacturing,Japan,Information Technology,Electronics
WEC Energy Group,United States,Energy,
JXTG Holdings,Japan,Financials,
China Fortune Land Development,China,,
Evonik,Germany,,
Henderson Land,Hong Kong,Financials,Real Estate
China Southern Airlines,China,Industrials,Airline
ThyssenKrupp Group,Germany,Industrials,Conglomerates
Whirlpool,United States,Consumer Discretionary,Household Appliances
Paccar,United States,Industrials,Heavy Equipment
Public Bank,Malaysia,Financials,Regional Banks
Bank of Ningbo,China,Financials,Regional Banks
Valeo,France,Consumer Discretionary,Auto & Truck Parts
Asahi Group Holdings,Japan,Consumer Staples,Beverages
Unibail-Rodamco,France,Financials,Real Estate
Delphi Automotive,United Kingdom,Consumer Discretionary,Auto & Truck Parts
Bunge,United States,Consumer Staples,Food Processing
Capgemini,France,Information Technology,Computer Services
Mylan,United Kingdom,Health Care,Pharmaceuticals
Sodexo,France,Consumer Discretionary,Business & Personal Services
Kasikornbank,Thailand,Financials,Major Banks
TELUS,Canada,Telecommunication Services,Telecommunications services
Formosa Chemicals,Taiwan,Materials,Specialized Chemicals
Kao Corp,Japan,Consumer Staples,Household/Personal Care
VMware,United States,Information Technology,Software & Programming
Kweichow Moutai,China,Consumer Staples,Beverages
SCA,Sweden,Consumer Staples,Household/Personal Care
Fidelity National Information,United States,Consumer Discretionary,Business & Personal Services
Aeon,Japan,Consumer Discretionary,Discount Stores
Centene,United States,Health Care,
Great Wall Motor,China,Consumer Discretionary,Auto & Truck Manufacturers
Telkom Indonesia,Indonesia,Telecommunication Services,
Molson Coors Brewing,United States,Consumer Staples,Beverages
Naspers,South Africa,Consumer Discretionary,Broadcasting & Cable
Stanley Black & Decker,United States,Consumer Staples,Household/Personal Care
Nucor,United States,Materials,Iron & Steel
Transneft,Russia,Energy,Oil Services & Equipment
JD.com,China,Consumer Discretionary,
National Bank of Abu Dhabi,United Arab Emirates,Financials,Regional Banks
West Japan Railway,Japan,Industrials,Railroads
DaVita,United States,Health Care,Healthcare Services
Commerzbank,Germany,Financials,Major Banks
Fortescue Metals Group,Australia,Materials,Iron & Steel
Nan Ya Plastics,Taiwan,Materials,Diversified Chemicals
Solvay,Belgium,Materials,Diversified Chemicals
Longfor Properties,China,Financials,Real Estate
Rogers Communications,Canada,Telecommunication Services,Telecommunications services
Barrick Gold,Canada,Materials,Diversified Metals & Mining
China Reinsurance Group,China,,
CIMB Group Holdings,Malaysia,Financials,Regional Banks
Krung Thai Bank,Thailand,Financials,Regional Banks
Tatneft,Russia,Energy,Oil & Gas Operations
WH Group,Hong Kong,,
Kellogg,United States,Consumer Staples,Food Processing
Recruit Holdings,Japan,Financials,
Fast Retailing,Japan,Consumer Discretionary,Apparel/Footwear Retail
Estée Lauder,United States,,
Allied Irish Banks,Ireland,Financials,Regional Banks
PKN Orlen,Poland,Energy,Oil & Gas Operations
BAIC Motor,China,Consumer Discretionary,
Mazda Motor,Japan,Consumer Discretionary,Auto & Truck Manufacturers
Weyerhaeuser,United States,Financials,Real Estate
Woolworths,Australia,Consumer Staples,Food Retail
Dong Energy,Denmark,Energy,
Level 3 Communications,United States,Telecommunication Services,Telecommunications services
Franklin Resources,United States,Financials,Investment Services
Nidec,Japan,Industrials,Electrical Equipment
George Weston,Canada,Consumer Staples,Food Retail
Lenovo Group,Hong Kong,Information Technology,Computer Hardware
LG Display,South Korea,Information Technology,Electronics
Activision Blizzard,United States,,
Grupo Aval,Colombia,Financials,Investment Services
All Nippon Airways,Japan,Industrials,Airline
Reinsurance Group of America,United States,Financials,Diversified Insurance
Tesoro,United States,Energy,Oil & Gas Operations
Samsung C&T,South Korea,Industrials,Trading Companies
RWE Group,Germany,Utilities,Electric Utilities
Guosen Securities,China,Financials,
TransCanada,Canada,Energy,Oil Services & Equipment
Adobe Systems,United States,Information Technology,Software & Programming
Teliasonera,Sweden,Telecommunication Services,Telecommunications services
Dentsu,Japan,Consumer Discretionary,Advertising
Deutsche Boerse,Germany,Financials,Investment Services
Daiwa Securities,Japan,Financials,Investment Services
GF Securities,China,Financials,Investment Services
Textron,United States,Industrials,Conglomerates
