Company,Country,Sector,Industry
Fresnillo,Mexico,Materials,
DSV,Denmark,Industrials,Trucking
Alpha Bank,Greece,Financials,Regional Banks
FleetCor Technologies,United States,Energy,
IDBI Bank,India,Financials,Regional Banks
EMS-Chemie Holding,Switzerland,Materials,Specialized Chemicals
Whitbread,United Kingdom,Consumer Discretionary,Hotels & Motels
Albemarle,United States,Consumer Discretionary,
Taiwan Mobile,Taiwan,Telecommunication Services,Telecommunications services
NEX Group,United Kingdom,Telecommunication Services,
Suruga Bank,Japan,Financials,Regional Banks
Compal Electronics,Taiwan,Information Technology,Computer Hardware
Metropolitan Bank & Trust,Philippines,Financials,Regional Banks
Mitsui Chemicals,Japan,Materials,Specialized Chemicals
TransDigm Group,United States,,
NiSource,United States,Utilities,Natural Gas Utilities
Banco BPI,Portugal,Financials,Regional Banks
Taiheiyo Cement,Japan,Materials,Construction Materials
Alstom,France,Industrials,Conglomerates
Liberty Media Corporation Series A Liberty Formula One,United States,,
Lindt & Sprungli,Switzerland,Consumer Staples,Food Processing
Continental Resources,United States,Energy,Oil & Gas Operations
Vulcan Materials,United States,Materials,
MISC,Malaysia,Industrials,Other Transportation
Uniqa,Austria,Financials,Diversified Insurance
Companhia Brasileira de Distribuicao,Brazil,,
Grupo Bolivar,Colombia,,
Hiroshima Bank,Japan,Financials,Regional Banks
Yunnan Baiyao Group,China,Health Care,Pharmaceuticals
Alinma Bank,Saudi Arabia,Financials,Regional Banks
Ferrari,Italy,Consumer Discretionary,
LG Uplus,South Korea,Telecommunication Services,Telecommunications services
Ensco,United Kingdom,Energy,Oil Services & Equipment
Assured Guaranty,Bermuda,Financials,Diversified Insurance
Banco BPM SpA,Italy,,
EFG International,Switzerland,,
Rajesh Exports,India,Materials,
Wendel,France,Financials,Investment Services
Spirit AeroSystems,United States,,
Terumo,Japan,Health Care,Medical Equipment & Supplies
Office Depot,United States,,
Shizuoka Bank,Japan,Financials,Regional Banks
Mercuries & Associates,Taiwan,Consumer Discretionary,Department Stores
Bank Otkritie,Russia,Financials,
Foshan Haitian Flavouring and Food Company,China,Consumer Staples,
Staples,United States,Consumer Discretionary,Specialty Stores
Zhengzhou Yutong Bus,China,,
Industrial Securities,China,Financials,
Pacific Exploration & Production,Canada,,
Ihs Markit,United Kingdom,Information Technology,
Bendigo & Adelaide Bank,Australia,Financials,Regional Banks
US Foods,United States,Consumer Staples,
CCR,Brazil,Industrials,Other Transportation
Church & Dwight,United States,Consumer Staples,Household/Personal Care
Yamada Denki,Japan,Information Technology,Computer & Electronics Retail
BCV Group,Switzerland,Financials,Regional Banks
Hankook Tire,South Korea,Consumer Discretionary,
Martin Marietta Materials,United States,Materials,
Intelsat,Luxembourg,,
Royal Mail,United Kingdom,Telecommunication Services,
Orkla,Norway,Industrials,Conglomerates
Saipem,Italy,,
Aeroflot-Russian Airlines,Russia,Materials,
Westlake Chemical,United States,Materials,Diversified Chemicals
Canadian Utilities,Canada,Utilities,
Suzuken,Japan,Health Care,Pharmaceuticals
Concho Resources,United States,Energy,Oil & Gas Operations
Hero Motocorp,India,Consumer Discretionary,Recreational Products
Pembina Pipeline,Canada,Energy,Oil & Gas Operations
Union National Bank,United Arab Emirates,Financials,Regional Banks
Gunma Bank,Japan,Financials,Regional Banks
Novozymes,Denmark,Health Care,Biotechs
Avis Budget Group,United States,Financials,Rental & Leasing
Sumitomo Metal Mining,Japan,Materials,Diversified Metals & Mining
China International Marine,China,Industrials,Heavy Equipment
ONO Pharmaceutical,Japan,Health Care,
Maxis,Malaysia,Telecommunication Services,Telecommunications services
BM&F Bovespa,Brazil,Financials,Investment Services
CNO Financial Group,United States,Financials,Life & Health Insurance
Piraeus Bank,Greece,Financials,Regional Banks
World Fuel Services,United States,Consumer Discretionary,Specialty Stores
CJ Cheiljedang,South Korea,Consumer Staples,Food Processing
Tiffany & Co.,United States,Consumer Discretionary,
XPO Logistics,United States,Consumer Discretionary,
BBVA Banco Continental,Peru,,
Tech Data,United States,Information Technology,Electronics
National Bank of Greece,Greece,Financials,Major Banks
EasyJet,United Kingdom,Industrials,Airline
HRG Group,United States,,
Kyushu Financial Group,Japan,Financials,
Boliden,Sweden,Materials,
NVR,United States,,
Alliant Energy,United States,Utilities,Electric Utilities
Nishi-nippon Financial Holdings,Japan,Energy,
Fortune Brands Home & Security,United States,,
NetApp,United States,Information Technology,Computer Storage Devices
Snap-on,United States,,
Bank of Qingdao,China,Financials,
Far East Horizon,Hong Kong,,
Garmin,Switzerland,Consumer Discretionary,Consumer Electronics
People's United Financial,United States,Financials,Thrifts & Mortgage Finance
North Pacific Bank,Japan,Financials,Regional Banks
Grasim Industries,India,Materials,Construction Materials
Banco Comercial Portugues,Portugal,Financials,Regional Banks
Moscovskiy Oblastnoi Bank,Russia,Financials,
Rexel,France,Information Technology,Electronics
Axis Capital Holdings,Bermuda,Financials,Diversified Insurance
Bank of Kyoto,Japan,Financials,Regional Banks
Hachijuni Bank,Japan,Financials,Regional Banks
Guangdong Investment,Hong Kong,Utilities,Diversified Utilities
Chugoku Bank,Japan,Financials,Regional Banks
77 Bank,Japan,Financials,Regional Banks
STRABAG,Austria,Industrials,Construction Services
SBI Holdings,Japan,Financials,Investment Services
Vietin Bank,Vietnam,Financials,Regional Banks
GPT Group,Australia,Financials,Real Estate
Shandong Gold Mining,China,Utilities,
Jabil Circuit,United States,Information Technology,Electronics
Sears Holdings,United States,Consumer Discretionary,Department Stores
Smiths Group,United Kingdom,Industrials,Conglomerates
Eurobank Ergasias,Greece,,
Tsinghua Tongfang,China,,
BPER Banca,Italy,Financials,
China Jinmao,Hong Kong,Financials,
Vertex Pharmaceuticals,United States,Health Care,Biotechs
Dixons Carphone,United Kingdom,,
Incyte,United States,Health Care,
President Chain Store,Taiwan,Consumer Staples,Food Retail
New Residential Investment,United States,Financials,
Deutsche Pfandbriefbank,Germany,,
MAp,Australia,,
BorgWarner,United States,Consumer Discretionary,Auto & Truck Parts
Chimera Investment,United States,Financials,
ProSiebenSat1 Media,Germany,Consumer Discretionary,Broadcasting & Cable
Shanghai Lujianzi,China,,
Tosoh,Japan,Materials,Diversified Chemicals
Dana Holding,United States,Financials,
Joint Stock Commercial Bank for Foreign Trade of Vietnam,Vietnam,Financials,
SL Green Realty,United States,Financials,Real Estate
Beijing Shougang,China,,
Sysmex,Japan,,
Want Want China,China,Consumer Staples,Food Processing
WellCare Health Plans,United States,Health Care,
Catcher Technology,Taiwan,Information Technology,
Central Bank of India,India,Financials,Regional Banks
Iyo Bank,Japan,Financials,Regional Banks
Mettler-Toledo International,United States,,
New Hope Liuhe,China,Consumer Staples,Food Processing
Wistron,Taiwan,Information Technology,Computer Hardware
American Equity Investment,United States,Financials,Life & Health Insurance
Cnpc Capital,China,,
Michael Kors Holdings,United Kingdom,Consumer Discretionary,Apparel/Accessories
Ternium,Luxembourg,Materials,Iron & Steel
Israel Discount Bank,Israel,Financials,Regional Banks
Signet Jewelers,Bermuda,Consumer Discretionary,Specialty Stores
Empire,Canada,Consumer Staples,Food Retail
PacWest Bancorp,United States,,
Techtronic Industries,Hong Kong,Utilities,
Tokyu Fudosan,Japan,,
Hengan International Group,China,Consumer Staples,Household/Personal Care
Moody's,United States,Consumer Discretionary,Business & Personal Services
Juroku Bank,Japan,Financials,Regional Banks
AU Optronics,Taiwan,Information Technology,Electronics
Commercial Bank For Investment & Development Of Vietnam,Vietnam,Financials,
Shaw Communications,Canada,Consumer Discretionary,Broadcasting & Cable
Haseko,Japan,,
Bureau Veritas Registre International de Classific,France,,
DSME,South Korea,Industrials,Heavy Equipment
CST Brands,United States,Consumer Discretionary,Specialty Stores
Molina Healthcare,United States,Health Care,
Brilliance China Automotive Holdings,Hong Kong,,
Toho Bank,Japan,Financials,Regional Banks
Cattolica Assicurazioni,Italy,Financials,Diversified Insurance
EQT,United States,Energy,Oil & Gas Operations
Snap,United States,Financials,
Tongyang Life Insurance,South Korea,Utilities,
Samsung Heavy Industries,South Korea,Industrials,Heavy Equipment
SinoPac Financial,Taiwan,Financials,Consumer Financial Services
INTL FCStone,United States,,
Commercial International Bank,Egypt,Financials,Regional Banks
Cybg,United Kingdom,Financials,
Orient,Japan,Financials,Consumer Financial Services
Wynn Resorts,United States,Consumer Discretionary,Casinos & Gaming
Hopson Development Holdings,Hong Kong,Financials,Real Estate
JTEKT,Japan,Consumer Discretionary,Auto & Truck Parts
Nippon Paint,Japan,Materials,
Calpine,United States,Utilities,Electric Utilities
BayWa,Germany,Consumer Discretionary,Specialty Stores
Migdal Insurance,Israel,Financials,
Changjiang Securities,China,Financials,
Aareal Bank,Germany,Financials,Thrifts & Mortgage Finance
Kansas City Southern,United States,Industrials,Railroads
Dufry,Switzerland,Utilities,
Interconexion Electrica,Colombia,Financials,
San-In Godo Bank,Japan,Financials,Regional Banks
Nanto Bank,Japan,Financials,Regional Banks
Li & Fung,Hong Kong,Industrials,Trading Companies
Lupin,India,Health Care,
Encana,Canada,Energy,Oil & Gas Operations
City Developments,Singapore,Financials,Real Estate
WPG Holdings,Taiwan,Information Technology,Electronics
KWG Property Holding,Hong Kong,,
Huntsman,United States,Materials,Diversified Chemicals
Sino Land,Hong Kong,Financials,Real Estate
Bohai Financial Investment Holding,China,Financials,
Tokyo TY Financial Group,Japan,Materials,
Nippon Steel Trading,Japan,Materials,Diversified Metals & Mining
Bank of Greece,Greece,Financials,Major Banks
Performance Food Group,United States,,
Ogaki Kyoritsu Bank,Japan,Financials,Regional Banks
Hyakugo Bank,Japan,Financials,Regional Banks
Daishi Bank,Japan,Financials,Regional Banks
Senshu Ikeda Holdings,Japan,Financials,Regional Banks
Supervalu,United States,Consumer Staples,Food Retail
NASDAQ OMX Group,United States,Financials,Investment Services
CPFL Energia,Brazil,Utilities,Electric Utilities
Severn Trent,United Kingdom,Utilities,Diversified Utilities
PBF Energy,United States,Energy,Oil & Gas Operations
Crown Resorts,Australia,Consumer Discretionary,Casinos & Gaming
Mirae Asset Daewoo,South Korea,,
Shiga Bank,Japan,Financials,Regional Banks
SK Networks,South Korea,Industrials,Trading Companies
Banco de Chile,Chile,,
Showa Shell Sekiyu,Japan,Energy,Oil & Gas Operations
Turkcell,Turkey,Telecommunication Services,Telecommunications services
Syndicate Bank,India,Financials,Regional Banks
Affiliated Managers Group,United States,Financials,Investment Services
Vipshop Holdings,China,,
Isetan Mitsukoshi Holdings,Japan,Consumer Discretionary,Department Stores
Taiwan Business Bank,Taiwan,Financials,Regional Banks
CalAtlantic Group,United States,Industrials,
Waste Connections,Canada,,
Nürnberger,Germany,,
KION Group,Germany,Materials,
International Flavors & Fragrances,United States,Utilities,
China National Materials,China,Industrials,Other Industrial Equipment
Prada,Italy,Consumer Discretionary,Apparel/Accessories
Indorama Ventures,Thailand,,
Korea Zinc,South Korea,Materials,
Nomura Research Institute,Japan,,
Tingyi Holding,China,Consumer Staples,Food Processing
Tenneco,United States,,
Cullen/Frost Bankers,United States,,
First Pacific,Hong Kong,Financials,Investment Services
Logan Property Holdings,China,Financials,
DGB Financial Group,South Korea,Financials,Consumer Financial Services
Shanghai Fosun Pharmaceutical (group),China,Health Care,
Central Puerto,Argentina,,
Xishui Strong Year Ltd. Inner Mongolia,China,,
China Mengniu Dairy,Hong Kong,Consumer Staples,Food Processing
Securitas,Sweden,Consumer Discretionary,Business & Personal Services
AmBank Group,Malaysia,Financials,Regional Banks
Ningbo Port,China,,
Penn Virginia,United States,,
Chongqing New Century Cruise,China,,
Jacobs Engineering,United States,Industrials,Construction Services
Red Star Macalline Group,China,,
Virgin Money Holdings,United Kingdom,,
Mattel,United States,Consumer Staples,Household/Personal Care
Credit Saison,Japan,Financials,Consumer Financial Services
Mirvac Group,Australia,,
Hyakujushi Bank,Japan,Financials,Regional Banks
GameStop,United States,,
Asian Paints,India,Materials,
Frasers Centrepoint,Singapore,,
Xiamen Xiangyu,China,,
Credito Emiliano,Italy,Financials,Regional Banks
Remgro,South Africa,Industrials,Conglomerates
Core-Mark Holding Company,United States,,
Kiyo Bank,Japan,Financials,
Shenzhou International Group Holdings,China,,
SYNNEX,United States,,
Damac Properties,United Arab Emirates,,
Aboitiz Equity Ventures,Philippines,Industrials,Conglomerates
HD Supply Holdings,United States,Financials,
RioCan Real Estate Investment Trust,Canada,,
Emera,Canada,Energy,
Grupo Zuliano,Venezuela,,
InterContinental Hotels,United Kingdom,Consumer Discretionary,Hotels & Motels
Impulsora del Desarrollo y el Empleo en America Latina SAB Class B,Mexico,,
Accor,France,Consumer Discretionary,Hotels & Motels
Liberbank,Spain,Financials,Regional Banks
Bandai Namco Holdings,Japan,,
Zenith Bank,Nigeria,Financials,Regional Banks
Fullshare Holdings,Hong Kong,,
Hologic,United States,,
Keiyo Bank,Japan,Financials,Regional Banks
Banque Centrale Populaire,Morocco,Financials,Regional Banks
Owens Corning,United States,Industrials,
Autodesk,United States,Information Technology,
Yonghui Superstores,China,Consumer Discretionary,
Banca Popolare di Sondrio,Italy,Financials,Regional Banks
VeriSign,United States,Information Technology,Software & Programming
Antofagasta,United Kingdom,Materials,Diversified Metals & Mining
Fuyao Glass Industry Group,China,Materials,
Bank of Queensland,Australia,Financials,Regional Banks
Angang Steel,China,Materials,Iron & Steel
Kingboard Chemical Holdings,Hong Kong,,
Wanhua Chemical Group,China,Materials,Specialized Chemicals
Habib Bank,Pakistan,Financials,
Umicore,Belgium,Materials,Diversified Metals & Mining
Popular,Puerto Rico,Financials,Regional Banks
Chesapeake Energy,United States,Energy,Oil & Gas Operations
Golden Agri-Resources,Singapore,Consumer Staples,Food Processing
Far Eastern New Century,Taiwan,Materials,Diversified Chemicals
Musashino Bank,Japan,Financials,Regional Banks
JB Financial Group,South Korea,Financials,
Basler Kantonalbank,Switzerland,Financials,Regional Banks
Indian Overseas Bank,India,Financials,Regional Banks
Bid Corp.,South Africa,,
Marine Harvest ASA,Norway,,
Nippon Paper Industries,Japan,Materials,
TAQA,United Arab Emirates,Utilities,Electric Utilities
United Aircraft,Russia,Industrials,
Inventec,Taiwan,Information Technology,Computer Hardware
Bluescope Steel,Australia,Materials,
Hanwa,Japan,Materials,Diversified Metals & Mining
Makita,Japan,Consumer Staples,Household/Personal Care
China Railway Signal & Communication,China,Telecommunication Services,
Shanghai Industrial Holdings,Hong Kong,Financials,
Xiamen International Trade Group,China,,
Hokkoku Bank,Japan,Financials,Regional Banks
Dali Foods Group,China,Financials,
Commercial Bank of Qatar,Qatar,Financials,Regional Banks
Industrias Peñoles,Mexico,,
Allahabad Bank,India,Financials,Regional Banks
Avery Dennison,United States,,
Merlin Properties SOCIMI S.A,Spain,,
Petro Rabigh,Saudi Arabia,Materials,Diversified Chemicals
Phosagro,Russia,Materials,
UCO Bank,India,Financials,Regional Banks
China Molybdenum,China,Materials,
NH Investment & Securities,South Korea,,
Japan Securities,Japan,Financials,Investment Services
Corporation Bank,India,Financials,Regional Banks
Public Power,Greece,Utilities,Electric Utilities
Tongling Nonferrous Metals,China,Materials,Diversified Metals & Mining
Zhongsheng Group Holdings,China,,
Alawwal Bank,Saudi Arabia,Financials,
Oriental Bank of Commerce,India,Financials,Regional Banks
Paramount Res,Canada,,
Toyota Boshoku,Japan,Consumer Discretionary,Auto & Truck Parts
JC Penney,United States,Consumer Discretionary,Department Stores
Spectrum Brands Holdings,United States,,
G4S,United Kingdom,Industrials,Security Systems
Jabal Omar Development,Saudi Arabia,,
Guoco Group,Hong Kong,,
Two Harbors Investment,United States,Financials,Real Estate
Beijing Capital Development,China,Financials,
Hellenic Petroleum,Greece,Energy,Oil & Gas Operations
Enka,Turkey,Industrials,Construction Services
Jilin Jiutai Rural Commercial Bank,China,Financials,
Innolux,Taiwan,Information Technology,Computer Hardware
Luzerner Kantonalbank,Switzerland,Financials,Regional Banks
China Resources Gas Group,Hong Kong,Materials,
First Quantum Minerals,Canada,Materials,Diversified Metals & Mining
ST Engineering,Singapore,Industrials,Aerospace & Defense
Delek Group,Israel,Financials,Investment Services
Lanxess,Germany,Materials,Diversified Chemicals
Extra Space Storage,United States,,
Financial Street Holdings,China,Financials,Real Estate
Burberry Group,United Kingdom,Consumer Discretionary,Apparel/Accessories
Petronas Gas,Malaysia,Utilities,Natural Gas Utilities
Workday,United States,,
GS Engineering,South Korea,Industrials,Construction Services
Hokkaido Electric Power,Japan,Utilities,Electric Utilities
Lonza Group,Switzerland,Materials,
FIBI Holdings,Israel,Financials,Regional Banks
GEA Group,Germany,Industrials,Conglomerates
Mid-america Apartment Communities,United States,,
Vietnam Dairy Products,Vietnam,Consumer Staples,
Sumitomo Rubber,Japan,Consumer Discretionary,Auto & Truck Parts
Areva,France,Utilities,Diversified Utilities
Leidos,United States,,
Reliance Steel,United States,Materials,Iron & Steel
Kroton Educacional,Brazil,,
Laurentian Bank,Canada,Financials,Regional Banks
Babcock International Group,United Kingdom,Consumer Discretionary,Business & Personal Services
Fabege AB,Sweden,,
First Citizens BancShares,United States,,
Hella Kgaa Hueck &,Germany,,
BOK Financial,United States,Financials,Regional Banks
Jazz Pharmaceuticals,Ireland,Health Care,
Toho Holdings,Japan,Financials,Pharmaceuticals
Microchip Technology,United States,Information Technology,Semiconductors
Shanghai International Airport,China,Industrials,
Atmos Energy,United States,Energy,
Amdocs,United States,Information Technology,Software & Programming
Kuwait Projects,Kuwait,Financials,Investment Services
China Aviation Oil,Singapore,Industrials,Trading Companies
Hakuhodo DY Holdings,Japan,Financials,
MMI Holdings,South Africa,Financials,Life & Health Insurance
Chinese Estates,Hong Kong,Financials,Real Estate
TP ICAP,United Kingdom,,
Technipfmc,United Kingdom,Energy,
Murphy USA,United States,Consumer Discretionary,Specialty Stores
Bank of Nagoya,Japan,Financials,Regional Banks
Emirates Integrated Telecom,United Arab Emirates,Telecommunication Services,Telecommunications services
St Galler Kantonalbank,Switzerland,Financials,Regional Banks
Ares Capital,United States,Financials,
Aroundtown Property Holdings,Germany,Financials,
GOME Electrical Appliances Holding,Hong Kong,,
Greentown China Holdings,China,Financials,Real Estate
Jiangsu Expressway,China,Industrials,
Premier,United States,Consumer Discretionary,
China Agri-Industries,Hong Kong,Materials,Diversified Chemicals
Pou Chen,Taiwan,Consumer Discretionary,Apparel/Accessories
Aldar Properties,United Arab Emirates,Financials,Real Estate
Tomony Holdings,Japan,Financials,Regional Banks
Vereit,United States,,
BioMarin Pharmaceutical,United States,Health Care,
Steel Authority of India,India,Materials,Iron & Steel
Doha Bank,Qatar,Financials,Regional Banks
Jaccs,Japan,Financials,Consumer Financial Services
Indiabulls Housing Finance,India,Financials,
Red Hat,United States,Information Technology,
Korea Investment Holdings,South Korea,Financials,
Indian Bank,India,Financials,Regional Banks
Kesko,Finland,Consumer Staples,Food Retail
Minato Bank,Japan,,
Andhra Bank,India,Financials,Regional Banks
US Steel,United States,Materials,Iron & Steel
Verbund,Austria,Utilities,Electric Utilities
Saudi Investment Bank,Saudi Arabia,Financials,Investment Services
BMCE Bank,Morocco,Financials,Regional Banks
NH Foods,Japan,,
Thomas Cook Group,United Kingdom,Consumer Discretionary,Business & Personal Services
Manila Electric,Philippines,Utilities,Electric Utilities
Arab Banking,Bahrain,Financials,Regional Banks
Synovus Financial,United States,Financials,Regional Banks
Western Union,United States,Consumer Discretionary,Business & Personal Services
Pearson,United Kingdom,Consumer Discretionary,Printing & Publishing
Banca IFIS,Italy,Financials,
Motherson Sumi Systems,India,,
SBA Communications,United States,Telecommunication Services,
Advanced Micro Devices,United States,Utilities,
Hudson's Bay,Canada,,
Total System Services,United States,Financials,
Sinopec Oilfield Service,China,Energy,
Westar Energy,United States,Energy,
Group 1 Automotive,United States,Consumer Discretionary,
Dollarama,Canada,Consumer Discretionary,
Shanghai RAAS Blood Products,China,,
Associated Banc-Corp,United States,Financials,
DVB Bank,Germany,Financials,Regional Banks
RenaissanceRe Holdings,Bermuda,Financials,
Global Payments,United States,Consumer Discretionary,
Commerce Bancshares,United States,Financials,
ServiceNow,United States,Information Technology,
Samsung SDI,South Korea,Information Technology,
China Great Wall Computer,China,Information Technology,
Tian An China Investments,Hong Kong,Financials,
HollyFrontier,United States,Energy,Oil & Gas Operations
Dah Sing Financial Holdings,Hong Kong,Financials,
Nanya Technology,Taiwan,Information Technology,
Shanxi Taigang Stainless,China,Materials,Iron & Steel
First Horizon National,United States,,
Brother Industries,Japan,Materials,
Chicago Bridge & Iron,Netherlands,Industrials,Construction Services
Belle International Holdings,Hong Kong,Consumer Discretionary,Apparel/Footwear Retail
F5 Networks,United States,,
Valspar,United States,Information Technology,
DKSH Holding,Switzerland,Materials,
Grupo Galicia,Argentina,,
Bank of Iwate,Japan,Financials,Regional Banks
Konica Minolta Business Solutions,Japan,Financials,
Synnex Technology Intl,Taiwan,Information Technology,
Eurazeo,France,Financials,Investment Services
Bankunited,United States,Financials,
Barry Callebaut,Switzerland,Consumer Discretionary,
Inchcape,United Kingdom,Consumer Discretionary,Specialty Stores
Yamanashi Chuo Bank,Japan,Financials,Regional Banks
Guangxi Guiguan Electric Power,China,Energy,
Live Nation Entertainment,United States,Energy,
Shaanxi Coal Industry,China,Materials,Diversified Metals & Mining
Aurubis,Germany,Materials,Diversified Metals & Mining
BEKB-BCBE,Switzerland,Financials,Regional Banks
Fastighets Balder,Sweden,Materials,
Akamai Technologies,United States,Information Technology,Computer Services
Oita Bank,Japan,Financials,Regional Banks
Tech Mahindra,India,Information Technology,
